sku	asin	price	quantity
103974306	0897936507	32.20	3
1231731USA	0671318195	12.00	2
12417341USA	084318003X	7.80	2
12617343USA	0843172940	7.80	2
12717344USA	0843172940	7.80	2
12817345USA	0843173823	7.80	2
13317497	0929643259	45.00	2
13517602	0937609692	15.75	2
13818301	3836526611	76.50	2
14018303	0312109407	28.50	2
14218307	1934734810	47.25	2
14518317	0060591676	63.90	2
14618325	3836526603	76.50	2
14718330	1848568479	40.50	2
14818331	0811871266	39.00	2
15418612UK	076244097X	22.20	2
15518613China	1934429953	64.50	2
15918711UK	0762446005	24.00	2
25226792China	0843172991	31.50	2
3643B00005UK	0762444355	22.50	2
3648B00010USA	0989813800	31.50	2
3650B00012South Korea	383653214X	19.50	2
3651B00013South Korea	3836532158	19.50	2
3655B00017USA	1612432751	24.00	2
3666B00028USA	1573448168	25.50	2
3667B00029USA	1573448184	24.00	2
3668B00030USA	1573448214	24.00	2
3674B00036USA	1616083115	24.00	2
3675B00037USA	189015976X	22.50	2
3679B00042USA	1592408257	25.50	2
3682B00045USA	1616087552	20.25	2
3684B00047USA	042526596X	25.50	2
3686B00049	3836539705	78.00	2
3693B00056UK	1780972989	15.75	2
3698B00062USA	1608680924	25.50	2
3699B00063Singapore	1592335543	33.00	2
3700B00064USA	1626360898	20.25	2
3710B00074USA	1580054412	25.50	2
3712B00076USA	1573449008	25.50	2
3713B00077USA	1573449369	25.50	2
3714B00078USA	157344927X	25.50	2
3715B00079USA	1573449245	25.50	2
3717B00082USA	1573449326	25.50	2
3719B00084USA	1476731535	24.00	2
3720B00085China	144055451X	21.75	2
3721B00086USA	145559945X	24.00	2
3723B00088	3836544032	28.50	2
3725B00090USA	1612432298	28.50	2
3728B00093USA	0425267040	24.00	2
3729B00094USA	0425267040	24.00	2
3731B00096USA	1476754144	15.75	2
3733B00098China	1465415823	25.50	2
3735B00100USA	1416209204	15.75	2
3736B00101USA	1476755108	15.75	2
3737B00102USA	1476751404	24.00	2
3738B00103	0804171203	24.75	2
3739B00105USA	0062301519	42.00	2
3741B00107USA	055341920X	24.75	2
3744B00112	0957592205	63.00	2
3745B00113	0937609676	15.75	2
3750B00118	095700379X	28.50	2
3751B00119	0957003781	28.50	2
3752B00120	1909181080	27.00	2
3753B00122	076117169X	27.00	2
3755B00130EU	0762452285	24.00	2
3756B00131	0957423209	24.00	2
4058B00111EU	0762452250	24.00	2
4272B00121USA	1402293372	24.00	2
4273B00110	0989813843	27.00	2
427432576Hong Kong	1250041147	22.50	2
4278B00133USA	1476748047	24.00	2
4279B00134USA	1627780939	25.50	2
428817347USA	0843180722	7.80	2
428917348USA	0843182377	7.80	2
430301USA	0962962872	45.00	2
43530487USA	0802122590	39.00	2
43630945USA	1416585265	22.50	2
43730947Singapore	1616280735	31.50	2
43830948USA	1600940234	27.00	2
44731214Hong Kong	158761006X	30.75	2
45031217China	1620876116	27.00	2
45131218China	1626360162	24.00	2
45231219China	1626360308	20.25	2
4533217USA	0671761773	27.00	2
45632205USA	1573441732	25.50	2
456526897China	1859063845	27.00	2
4603226USA	1573442143	27.00	2
461333450China	1627780718	34.50	2
46432365USA	1573443409	24.00	2
46732373USA	1573444154	24.00	2
47032381USA	1573443824	24.00	2
47132382UK	0762449470	22.50	2
47232383USA	0804136866	24.75	2
47432385USA	1626361010	36.00	2
47932423USA	1573449342	25.50	2
48032424USA	1573449644	25.50	2
48232426USA	1573449636	25.50	2
4883250USA	0452294754	75.00	2
48932501USA	1573447161	24.00	2
49032502USA	1573447242	24.00	2
49132525USA	1580051529	27.00	2
49232528USA	0767916565	16.50	2
49332541USA	1573443212	24.00	2
49432542USA	1573443255	24.00	2
49532543USA	1573443700	24.00	2
49632544USA	1573443166	24.00	2
49732545USA	1573447137	24.00	2
49832546USA	1573444065	24.00	2
49932547USA	1573447129	24.00	2
50432573	1629144762	20.25	2
50532574	1629144754	24.00	2
50732585USA	1580053637	28.50	2
50832621Korea	1612430287	27.00	2
50932622USA	1573442356	20.25	2
51032623USA	1573441252	24.00	2
51132624USA	1573441287	24.00	2
51632692USA	0761138099	14.25	2
5193270USA	0679769560	36.75	2
52232725USA	157344295X	28.50	2
52432731China	0756657903	30.00	2
52632745Singapore	1592333915	33.00	2
52832755USA	1402286767	27.00	2
53032874USA	1580053033	27.00	2
5310043USA	0062305492	20.25	2
5313289USA	0897937023	28.50	2
532329USA	055337396X	29.25	2
53332917USA	1580055257	25.50	2
5363292USA	0762415606	16.50	2
53732921Singapore	1592335748	33.00	2
53832950USA	1890159271	18.00	2
53932951Singapore	1592333397	31.50	2
54032953Singapore	1592334369	33.00	2
5413332China	0811855511	20.25	2
54233448Canada	0060012749	30.00	2
54533451USA	1627780610	25.50	2
54633452USA	162778070X	25.50	2
54733455China	1594744564	15.75	2
54833459USA	0399536493	15.75	2
5493346USA	0743212657	25.50	2
55233463USA	158761085X	26.25	2
55433586USA	1587612909	27.75	2
5553359USA	0061235202	27.00	2
55633593USA	0307406598	22.50	2
5583362USA	0767904524	31.50	2
55933626USA	0060539100	30.00	2
567337China	0965327523	45.00	2
56933712Korea	1623260078	63.00	2
57033713USA	0804138087	21.75	2
571015	0762416084	9.45	2
57133746China	1592336035	43.50	2
57533912Hong Kong	1847327397	20.25	2
57933918USA	0738213985	25.50	2
5812202	1441305246	15.75	2
58133921Singapore	1592334253	33.00	2
58433928USA	1593598521	17.55	2
58833935USA	1402207727	17.55	2
58933936	1623260647	15.75	2
59734152USA	1573442801	24.00	2
599343USA	1573441589	45.75	2
6012214	0600620824	39.00	2
6013452USA	1890159719	25.50	2
6023456USA	1569243093	31.95	2
6053482USA	0061898074	27.00	2
6063483USA	0062516140	25.50	2
6073484USA	0062513362	25.50	2
61034856USA	0425202461	22.50	2
6112215China	1592334474	28.50	2
61134858Hong Kong	1402708890	9.00	2
61234861USA	1573447110	28.50	2
61334862Singapore	1592334865	33.00	2
61734869Poland	9186283723	15.75	2
61834910USA	1583333924	31.50	2
61934913USA	1580053386	27.00	2
62034916Singapore	1842221531	15.90	2
62534944Singapore	1592335071	24.75	2
62734948Thailand	0811839575	15.00	2
63134956USA	0897936507	28.50	2
63234964Canada	1594743363	27.00	2
63334966China	1592333931	30.00	2
63534974USA	1569759367	20.25	2
6363525China	140274238X	15.75	2
6383526USA	0446679747	25.50	2
63935261USA	0446692433	25.50	2
6403527USA	0446677825	22.50	2
6413528USA	0446677353	25.50	2
64435292USA	044655748X	25.50	2
65035313USA	1627780084	25.50	2
65235315USA	1627780041	25.50	2
65335316	0937609706	15.75	2
65435317USA	141620928X	15.75	2
65635338USA	1573443093	24.00	2
65735347EU	0762439947	22.50	2
6623542USA	1580052193	25.50	2
6633543USA	0517886073	22.50	2
66535456USA	0767926064	23.25	2
66635457USA	1590303644	29.25	2
6673564USA	0399534369	25.50	2
6683567USA	0061547336	22.50	2
6693568USA	0060989092	24.00	2
6712559	1402206860	15.00	2
67236232Singapore	0756659906	30.00	2
67336233China	1465414428	30.00	2
6743632	0743258533	31.50	2
67636323Singapore	0756671477	39.00	2
67736326USA	1583333533	24.00	2
67836336USA	0060586311	37.50	2
68036338USA	1930722273	27.00	2
68436342USA	0756657385	27.00	2
68736352Singapore	1858688655	15.90	2
6883647USA	0425202690	28.50	2
6912562	1620873346	20.25	2
69136494Singapore	1569757291	19.50	2
695365USA	0963976389	37.50	2
69636505USA	0425229831	24.00	2
70436575USA	1627780378	25.50	2
70536576USA	1573446521	24.00	2
715369USA	1890159352	22.50	2
716371USA	189015900X	19.50	2
7193724USA	1890159131	25.50	2
7212573USA	B009DYB6DO	78.00	2
722373USA	1890159115	18.00	2
72437452USA	157344779X	31.50	2
72537453USA	0937609587	31.50	2
7273748USA	0897934458	27.00	2
729375USA	1890159360	22.50	2
73137602Canada	1931160996	39.00	2
7343772Canada	097066110X	21.00	2
73737741USA	1573442739	24.00	2
74133	1562010352	15.75	2
7423865USA	1573441996	39.00	2
7433872USA	157344278X	24.00	2
74438801USA	157344720X	27.00	2
7453881USA	0812991958	25.50	2
7513567USA	0345803485	26.25	2
7513905USA	1573443875	27.00	2
75339078Canada	1569755639	20.85	2
75439085USA	1568582951	25.50	2
7553909USA	0553381148	28.50	2
75639095USA	1569756791	22.50	2
75739100USA	1890159026	21.00	2
75839117Spain	8498675693	42.00	2
76039120USA	1603960384	34.50	2
7613568USA	0345803493	26.25	2
76339130	9707703334	21.00	2
76639865USA	0452285550	24.00	2
7673991USA	1890159239	24.00	2
76839935USA	1569758700	27.00	2
770401Singapore	0789404370	18.75	2
7713569USA	0345803507	26.25	2
77440252Hong Kong	1844838005	31.50	2
77640432Singapore	0756633540	34.50	2
77840452China	1465402098	30.00	2
77940453USA	093760965X	43.50	2
78140492	162914469X	39.00	2
782407Singapore	0789450720	22.50	2
7864092Singapore	0756605261	22.50	2
78740921USA	1569759383	20.25	2
78840926USA	158005157X	24.00	2
78940982Canada	1569756031	15.90	2
79240986USA	0060753641	22.50	2
79440991USA	1569242763	27.00	2
79540993USA	1580050751	25.50	2
79740998USA	1569756252	22.50	2
79840999	0761174753	25.50	2
80141018China	1402755678	8.25	2
80441029USA	0345498607	26.25	2
80741038USA	1439190666	44.25	2
80841039USA	0743274873	27.00	2
80941040USA	1580052754	28.50	2
81041042USA	1402208944	15.75	2
81141043USA	1402206836	9.75	2
81241044USA	1402206828	9.75	2
81341045USA	1402201990	9.75	2
81441046USA	1402202008	9.75	2
82141072USA	160550033X	20.25	2
82241073USA	1598699032	17.25	2
82341074USA	1440510806	18.75	2
82441075USA	1440510768	18.75	2
82641077USA	144050637X	17.25	2
82841079USA	1440510997	20.25	2
83149973USA	0385345224	33.00	2
83349975Korea	0743289803	25.50	2
