sku	asin	price	quantity
10017101USA	0446613142	12.29	15
10117102USA	0446612839	12.29	5
10217103USA	0446619280	12.29	34
10317104USA	0446619299	12.29	45
103974306	0897936507	18.15	9
10417105USA	0446619302	12.29	43
10517106USA	0446619337	12.29	13
10617107USA	0446619442	12.29	16
10717108USA	0446619345	12.29	12
10817109USA	0446619353	12.29	9
10917110USA	0446619450	12.29	4
11017111USA	0446619361	12.29	26
11117112USA	044661937X	12.29	38
11217113USA	0446619388	12.29	58
11317114USA	0446619396	12.29	17
11417115USA	0446583731	12.29	17
11517116USA	0446583650	12.80	11
11617117USA	044658374X	12.29	10
11817119USA	0446583693	12.80	6
12017121USA	0446583758	13.31	27
1211724USA	0446613118	12.29	6
1221726USA	0446613118	12.29	11
12417341USA	084318003X	10.60	97
12617343USA	0843172940	10.60	26
12717344USA	0843172940	10.60	66
12817345USA	0843173823	10.60	146
1291738	0843189258	10.60	149
1301740USA	0843189231	10.60	105
13317497	0929643259	23.76	10
13517602	0937609692	13.31	16
14018303	0312109407	18.15	6
14318308	3836551632	33.96	5
14418311	3836503050	17.64	5
14518317	0060591676	29.68	6
14718330	1848568479	21.72	4
14818331	0811871266	21.21	14
15018600USA	1580054080	17.13	8
15418612UK	076244097X	15.50	12
15518613China	1934429953	89.43	20
15618704USA	0615442323	17.90	4
15818710USA	061527210X	16.62	31
25226792China	0843172991	18.66	16
3639B00001USA	0425263916	16.11	24
3640B00002	1440552525	16.62	22
3642B00004	0762444878	15.60	20
3644B00006Singapore	1592335101	19.17	4
3645B00007Singapore	1592335357	19.17	30
3647B00009Singapore	1592335438	18.66	45
3648B00010USA	0989813800	18.66	7
3650B00012South Korea	383653214X	14.58	20
3653B00015	3836550512	21.21	16
3654B00016Korea	1612431127	17.64	29
3655B00017USA	1612432751	16.11	16
3662B00024USA	1573449075	16.62	9
3663B00025USA	1573449040	17.64	40
3664B00026USA	1573448133	16.62	9
3665B00027USA	157344815X	16.62	10
3666B00028USA	1573448168	16.62	5
3668B00030USA	1573448214	16.62	14
3669B00031USA	1573448192	16.11	12
3673B00035USA	1573447919	16.62	9
3674B00036USA	1616083115	16.11	10
3675B00037USA	189015976X	15.60	4
3676B00038USA	1890159565	13.31	13
3677B00039USA	1890159786	13.31	47
3678B00041USA	0770435548	15.09	8
3680B00043USA	0937609609	13.31	44
3682B00045USA	1616087552	14.84	5
3684B00047USA	042526596X	16.62	26
3685B00048USA	0425265951	16.62	9
3688B00051USA	0399163468	13.31	15
3691B00054USA	0385346433	16.37	21
3692B00055Thailand	1848990669	13.31	23
3693B00056UK	1780972989	13.31	23
3694B00057USA	0985403217	17.39	10
3697B00060China	1604332921	13.31	33
3698B00062USA	1608680924	16.62	14
3699B00063Singapore	1592335543	19.17	5
3700B00064USA	1626360898	14.84	35
3701B00065USA	1580053866	17.13	7
3704B00068USA	1476730091	16.11	11
3708B00072China	B00B8OSQG2	12.54	27
3710B00074USA	1580054412	16.62	9
3713B00077USA	1573449369	16.62	15
3715B00079USA	1573449245	16.62	17
3716B00080USA	1573449253	16.62	4
3717B00082USA	1573449326	16.62	9
3718B00083Hong Kong	1620877996	17.13	55
3719B00084USA	1476731535	16.11	5
3720B00085China	144055451X	15.35	10
3721B00086USA	145559945X	16.11	8
3722B00087USA	0425266516	16.62	19
3723B00088	3836544032	17.64	10
3724B00089Slovakia	3836545195	14.58	42
3725B00090USA	1612432298	17.64	22
3726B00091USA	1612432409	16.62	62
3727B00092EU	076244813X	16.11	14
3728B00093USA	0425267040	16.11	16
3729B00094USA	0425267040	16.11	22
3730B00095USA	0425267083	16.11	11
3731B00096USA	1476754144	13.31	46
3733B00098China	1465415823	16.62	23
3734B00099USA	1476755094	13.31	93
3735B00100USA	1416209204	13.31	7
3736B00101USA	1476755108	13.31	37
3737B00102USA	1476751404	16.11	17
3738B00103	0804171203	16.37	4
3739B00105USA	0062301519	32.14	57
3741B00107USA	055341920X	16.37	24
3742B00108CHINA	1618371606	13.31	38
3743B00109CHINA	140274787X	13.31	36
3745B00113	0937609676	13.31	7
3746B00114	162914164X	18.66	12
3747B00115	1629142077	17.13	13
3748B00116	1629145262	16.11	20
3750B00118	095700379X	17.13	6
3751B00119	0957003781	17.64	16
3753B00122	076117169X	17.13	3
3755B00130EU	0762452285	16.11	7
3756B00131	0957423209	16.11	67
4058B00111EU	0762452250	16.11	5
4272B00121USA	1402293372	16.11	36
4273B00110	0989813843	17.13	8
427432576Hong Kong	1250041147	15.60	17
4278B00133USA	1476748047	16.11	33
4279B00134USA	1627780939	16.62	32
4286B00132USA	0425273865	16.62	14
